sentiment,file_reference
NEGATIVE,0_3.txt
NEGATIVE,10000_4.txt
NEGATIVE,10001_4.txt
NEGATIVE,10002_1.txt
NEGATIVE,10003_1.txt
NEGATIVE,10004_3.txt
NEGATIVE,1000_4.txt
NEGATIVE,10005_3.txt
NEGATIVE,10006_4.txt
NEGATIVE,10007_1.txt
NEGATIVE,10008_2.txt
NEGATIVE,10009_1.txt
NEGATIVE,10010_3.txt
NEGATIVE,10011_3.txt
NEGATIVE,10012_1.txt
NEGATIVE,10013_1.txt
NEGATIVE,10014_2.txt
NEGATIVE,1001_4.txt
NEGATIVE,10015_2.txt
NEGATIVE,10016_4.txt
NEGATIVE,10017_4.txt
NEGATIVE,10018_3.txt
NEGATIVE,10019_3.txt
NEGATIVE,10020_3.txt
NEGATIVE,10021_2.txt
NEGATIVE,10022_4.txt
NEGATIVE,10023_1.txt
NEGATIVE,1002_3.txt
NEGATIVE,10024_3.txt
NEGATIVE,10025_1.txt
NEGATIVE,10026_2.txt
NEGATIVE,10027_1.txt
NEGATIVE,10028_2.txt
NEGATIVE,10029_1.txt
NEGATIVE,10030_1.txt
NEGATIVE,10031_2.txt
NEGATIVE,10032_4.txt
NEGATIVE,10033_1.txt
NEGATIVE,1003_3.txt
NEGATIVE,10034_1.txt
NEGATIVE,10035_1.txt
NEGATIVE,10036_1.txt
NEGATIVE,10037_1.txt
NEGATIVE,10038_3.txt
NEGATIVE,10039_1.txt
NEGATIVE,100_3.txt
NEGATIVE,10040_2.txt
NEGATIVE,10041_1.txt
NEGATIVE,10042_1.txt
NEGATIVE,10043_1.txt
NEGATIVE,10044_1.txt
NEGATIVE,1004_4.txt
NEGATIVE,10045_1.txt
NEGATIVE,10046_1.txt
NEGATIVE,10047_1.txt
NEGATIVE,10048_4.txt
NEGATIVE,10049_1.txt
NEGATIVE,10050_2.txt
NEGATIVE,10051_4.txt
NEGATIVE,10052_4.txt
NEGATIVE,10053_4.txt
NEGATIVE,1005_3.txt
NEGATIVE,10054_1.txt
NEGATIVE,10055_3.txt
NEGATIVE,10056_2.txt
NEGATIVE,10057_1.txt
NEGATIVE,10058_1.txt
NEGATIVE,10059_4.txt
NEGATIVE,10060_1.txt
NEGATIVE,10061_4.txt
NEGATIVE,1006_1.txt
NEGATIVE,10062_1.txt
NEGATIVE,10063_1.txt
NEGATIVE,10064_3.txt
NEGATIVE,10065_2.txt
NEGATIVE,10066_4.txt
NEGATIVE,10067_3.txt
NEGATIVE,10068_4.txt
NEGATIVE,10069_1.txt
NEGATIVE,10070_3.txt
NEGATIVE,10071_1.txt
NEGATIVE,1007_1.txt
NEGATIVE,10072_1.txt
NEGATIVE,10073_4.txt
NEGATIVE,10074_2.txt
NEGATIVE,10075_2.txt
NEGATIVE,10076_4.txt
NEGATIVE,10077_2.txt
NEGATIVE,10078_1.txt
NEGATIVE,10079_1.txt
NEGATIVE,10080_2.txt
NEGATIVE,10081_1.txt
NEGATIVE,1008_1.txt
NEGATIVE,10082_4.txt
NEGATIVE,10083_1.txt
NEGATIVE,10084_4.txt
NEGATIVE,10085_3.txt
NEGATIVE,10086_2.txt
NEGATIVE,10087_4.txt
NEGATIVE,10088_1.txt
NEGATIVE,10089_1.txt
NEGATIVE,10090_1.txt
NEGATIVE,10091_1.txt
NEGATIVE,10092_1.txt
NEGATIVE,10093_1.txt
NEGATIVE,10094_1.txt
NEGATIVE,1009_4.txt
NEGATIVE,10095_1.txt
NEGATIVE,10096_1.txt
NEGATIVE,10097_1.txt
NEGATIVE,10098_1.txt
NEGATIVE,10099_1.txt
NEGATIVE,10100_1.txt
NEGATIVE,10101_1.txt
NEGATIVE,10102_1.txt
NEGATIVE,10103_1.txt
NEGATIVE,10104_1.txt
NEGATIVE,1010_4.txt
NEGATIVE,10105_1.txt
NEGATIVE,10106_1.txt
NEGATIVE,10107_1.txt
NEGATIVE,10108_1.txt
NEGATIVE,10109_1.txt
NEGATIVE,10110_1.txt
NEGATIVE,10111_1.txt
NEGATIVE,10112_1.txt
NEGATIVE,1011_2.txt
NEGATIVE,10113_1.txt
NEGATIVE,10114_1.txt
NEGATIVE,10115_1.txt
NEGATIVE,10116_1.txt
NEGATIVE,10117_1.txt
NEGATIVE,10118_4.txt
NEGATIVE,10119_2.txt
NEGATIVE,101_1.txt
NEGATIVE,10120_4.txt
NEGATIVE,10121_3.txt
NEGATIVE,10122_4.txt
NEGATIVE,1012_2.txt
NEGATIVE,10123_3.txt
NEGATIVE,10124_1.txt
NEGATIVE,10125_1.txt
NEGATIVE,10126_2.txt
NEGATIVE,10127_1.txt
NEGATIVE,10128_1.txt
NEGATIVE,10129_1.txt
NEGATIVE,10130_2.txt
NEGATIVE,10131_1.txt
NEGATIVE,10132_2.txt
NEGATIVE,1013_2.txt
NEGATIVE,10133_1.txt
NEGATIVE,10134_1.txt
NEGATIVE,10135_2.txt
NEGATIVE,10136_2.txt
NEGATIVE,10137_1.txt
NEGATIVE,10138_3.txt
NEGATIVE,10139_4.txt
NEGATIVE,10140_3.txt
NEGATIVE,10141_2.txt
NEGATIVE,10142_2.txt
NEGATIVE,1014_2.txt
NEGATIVE,10143_1.txt
NEGATIVE,10144_2.txt
NEGATIVE,10145_1.txt
NEGATIVE,10146_1.txt
NEGATIVE,10147_1.txt
NEGATIVE,10148_3.txt
NEGATIVE,10149_1.txt
NEGATIVE,10150_3.txt
NEGATIVE,10151_1.txt
NEGATIVE,10152_1.txt
NEGATIVE,1015_2.txt
NEGATIVE,10153_4.txt
NEGATIVE,10154_1.txt
NEGATIVE,10155_4.txt
NEGATIVE,10156_1.txt
NEGATIVE,10157_4.txt
NEGATIVE,10158_4.txt
NEGATIVE,10159_3.txt
NEGATIVE,10160_4.txt
NEGATIVE,10161_2.txt
NEGATIVE,10162_3.txt
NEGATIVE,10163_4.txt
NEGATIVE,10164_4.txt
NEGATIVE,1016_4.txt
NEGATIVE,10165_3.txt
NEGATIVE,10166_2.txt
NEGATIVE,10167_1.txt
NEGATIVE,10168_2.txt
NEGATIVE,10169_2.txt
NEGATIVE,10170_2.txt
NEGATIVE,10171_3.txt
NEGATIVE,1017_1.txt
NEGATIVE,10172_1.txt
NEGATIVE,10173_1.txt
NEGATIVE,10174_4.txt
NEGATIVE,10175_3.txt
NEGATIVE,10176_1.txt
NEGATIVE,10177_1.txt
NEGATIVE,10178_3.txt
NEGATIVE,10179_1.txt
NEGATIVE,10180_1.txt
NEGATIVE,10181_3.txt
NEGATIVE,10182_3.txt
NEGATIVE,10183_1.txt
NEGATIVE,1018_3.txt
NEGATIVE,10184_1.txt
NEGATIVE,10185_4.txt
NEGATIVE,10186_1.txt
NEGATIVE,10187_3.txt
NEGATIVE,10188_2.txt
NEGATIVE,10189_4.txt
NEGATIVE,10190_1.txt
NEGATIVE,10191_3.txt
NEGATIVE,1019_1.txt
NEGATIVE,10192_2.txt
NEGATIVE,10193_1.txt
NEGATIVE,10194_3.txt
NEGATIVE,10195_1.txt
NEGATIVE,10196_1.txt
NEGATIVE,10197_1.txt
NEGATIVE,10198_4.txt
NEGATIVE,10199_4.txt
NEGATIVE,10200_4.txt
NEGATIVE,10201_3.txt
