badge_number,score,of_concern_hr,of_concern_security
150,0,"N","N"
151,0,"N","N"
152,0,"N","N"
153,0,"N","N"
154,0,"N","N"
155,0,"N","N"
156,0,"N","N"
157,0,"N","N"
158,0,"N","N"
159,0,"N","N"
160,0,"N","N"
161,0,"N","N"
162,0,"N","N"
163,0,"N","N"
164,0,"N","N"
165,0,"N","N"
166,0,"N","N"
167,0,"N","N"
168,0,"N","N"
169,0,"N","N"
170,0,"N","N"
171,0,"N","N"
172,0,"N","N"
173,0,"N","N"
174,0,"N","N"
175,0,"N","N"
176,0,"N","N"
177,0,"N","N"
178,0,"N","N"
179,0,"N","N"
180,0,"N","N"
181,0,"N","N"
182,0,"N","N"
183,0,"N","N"
184,0,"N","N"
185,0,"N","N"
186,0,"N","N"
187,0,"N","N"
188,0,"N","N"
189,0,"N","N"
190,0,"N","N"
191,0,"N","N"
192,0,"N","N"
193,0,"N","N"
194,0,"N","N"
195,0,"N","N"
196,0,"N","N"
197,0,"N","N"
198,0,"N","N"
199,0,"N","N"
200,0,"N","N"
201,0,"N","N"
202,0,"N","N"
203,0,"N","N"
204,0,"N","N"
205,0,"N","N"
206,0,"N","N"
207,0,"N","N"
208,0,"N","N"
209,0,"N","N"
210,0,"N","N"
211,0,"N","N"
212,0,"N","N"
213,0,"N","N"
214,0,"N","N"
215,0,"N","N"
216,0,"N","N"
217,0,"N","N"
218,0,"N","N"
219,0,"N","N"
220,0,"N","N"
221,0,"N","N"
222,0,"N","N"
223,0,"N","N"
224,0,"N","N"
225,0,"N","N"
226,0,"N","N"
227,0,"N","N"
228,0,"N","N"
229,0,"N","N"
230,0,"N","N"
231,0,"N","N"
232,0,"N","N"
233,0,"N","N"
234,0,"N","N"
235,0,"N","N"
236,0,"N","N"
237,0,"N","N"
238,0,"N","N"
239,0,"N","N"
240,0,"N","N"
241,0,"N","N"
242,0,"N","N"
243,0,"N","N"
244,0,"N","N"
245,0,"N","N"
246,0,"N","N"
247,0,"N","N"
248,0,"N","N"
249,0,"N","N"
300,0,"N","N"
301,0,"N","N"
302,0,"N","N"
303,0,"N","N"
304,0,"N","N"
305,0,"N","N"
306,0,"N","N"
307,0,"N","N"
308,0,"N","N"
309,0,"N","N"
310,0,"N","N"
311,0,"N","N"
312,0,"N","N"
313,0,"N","N"
314,0,"N","N"
315,0,"N","N"
316,0,"N","N"
317,0,"N","N"
318,0,"N","N"
319,0,"N","N"
320,0,"N","N"
321,0,"N","N"
322,0,"N","N"
323,0,"N","N"
324,0,"N","N"
325,0,"N","N"
326,0,"N","N"
327,0,"N","N"
328,0,"N","N"
329,0,"N","N"
330,0,"N","N"
331,0,"N","N"
332,0,"N","N"
333,0,"N","N"
334,0,"N","N"
335,0,"N","N"
336,0,"N","N"
337,0,"N","N"
338,0,"N","N"
339,0,"N","N"
340,0,"N","N"
341,0,"N","N"
342,0,"N","N"
343,0,"N","N"
344,0,"N","N"
345,0,"N","N"
346,0,"N","N"
347,0,"N","N"
348,0,"N","N"
349,0,"N","N"
350,0,"N","N"
351,0,"N","N"
352,0,"N","N"
353,0,"N","N"
354,0,"N","N"
355,0,"N","N"
356,0,"N","N"
357,0,"N","N"
358,0,"N","N"
359,0,"N","N"
360,0,"N","N"
361,0,"N","N"
362,0,"N","N"
363,0,"N","N"
364,0,"N","N"
365,0,"N","N"
366,0,"N","N"
367,0,"N","N"
368,0,"N","N"
369,0,"N","N"
370,0,"N","N"
371,0,"N","N"
372,0,"N","N"
373,0,"N","N"
374,0,"N","N"
375,0,"N","N"
376,0,"N","N"
377,0,"N","N"
378,0,"N","N"
379,0,"N","N"
380,0,"N","N"
381,0,"N","N"
382,0,"N","N"
383,0,"N","N"
384,0,"N","N"
385,0,"N","N"
386,0,"N","N"
387,0,"N","N"
388,0,"N","N"
389,0,"N","N"
390,0,"N","N"
391,0,"N","N"
392,0,"N","N"
393,0,"N","N"
394,0,"N","N"
395,0,"N","N"
396,0,"N","N"
397,0,"N","N"
398,0,"N","N"
399,0,"N","N"
450,0,"N","N"
451,0,"N","N"
452,0,"N","N"
453,0,"N","N"
454,0,"N","N"
455,0,"N","N"
456,0,"N","N"
457,0,"N","N"
458,0,"N","N"
459,0,"N","N"
460,0,"N","N"
461,0,"N","N"
462,0,"N","N"
463,0,"N","N"
464,0,"N","N"
465,0,"N","N"
466,0,"N","N"
467,0,"N","N"
468,0,"N","N"
469,0,"N","N"
470,0,"N","N"
471,0,"N","N"
472,0,"N","N"
473,0,"N","N"
474,0,"N","N"
475,0,"N","N"
476,0,"N","N"
477,0,"N","N"
478,0,"N","N"
479,0,"N","N"
480,0,"N","N"
481,0,"N","N"
482,0,"N","N"
483,0,"N","N"
484,0,"N","N"
485,0,"N","N"
486,0,"N","N"
487,0,"N","N"
488,0,"N","N"
489,0,"N","N"
490,0,"N","N"
491,0,"N","N"
492,0,"N","N"
493,0,"N","N"
494,0,"N","N"
495,0,"N","N"
496,0,"N","N"
497,0,"N","N"
498,0,"N","N"
499,0,"N","N"
500,0,"N","N"
501,0,"N","N"
502,0,"N","N"
503,0,"N","N"
504,0,"N","N"
505,0,"N","N"
506,0,"N","N"
507,0,"N","N"
508,0,"N","N"
509,0,"N","N"
510,0,"N","N"
511,0,"N","N"
512,0,"N","N"
513,0,"N","N"
514,0,"N","N"
515,0,"N","N"
516,0,"N","N"
517,0,"N","N"
518,0,"N","N"
519,0,"N","N"
520,0,"N","N"
521,0,"N","N"
522,0,"N","N"
523,0,"N","N"
524,0,"N","N"
525,0,"N","N"
526,0,"N","N"
527,0,"N","N"
528,0,"N","N"
529,0,"N","N"
530,0,"N","N"
531,0,"N","N"
532,0,"N","N"
533,0,"N","N"
534,0,"N","N"
535,0,"N","N"
536,0,"N","N"
537,0,"N","N"
538,0,"N","N"
539,0,"N","N"
540,0,"N","N"
541,0,"N","N"
542,0,"N","N"
543,0,"N","N"
544,0,"N","N"
545,0,"N","N"
546,0,"N","N"
547,0,"N","N"
548,0,"N","N"
549,0,"N","N"
600,0,"N","N"
601,0,"N","N"
602,0,"N","N"
603,0,"N","N"
604,0,"N","N"
605,0,"N","N"
606,0,"N","N"
607,0,"N","N"
608,0,"N","N"
609,0,"N","N"
